fixture_id,player_id,team,player_name,date,competition_level,previous_minutes,previous_available__minutes,previous_provenance__minutes,minutes,available__minutes,provenance__minutes,reason
26584,132606,South Africa,Vincent Koch,2021-09-18,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
26638,124686,Argentina,Guido Petti Pagadizabal,2021-09-18,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
26638,130590,Argentina,Enrique Pieretto Heiland,2021-09-18,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
26638,130650,Argentina,Domingo Miotti,2021-09-18,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
26593,155466,Argentina,Santiago Socino,2021-09-25,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
26593,155268,Australia,Jordan Petaia,2021-09-25,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
26593,164268,Australia,Tate McDermott,2021-09-25,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
26647,112890,New Zealand,Brad Weber,2021-09-25,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
26647,130452,New Zealand,Damian McKenzie,2021-09-25,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
26647,144144,New Zealand,Karl Tu'inukuafe,2021-09-25,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
26647,161400,New Zealand,Ethan Blackadder,2021-09-25,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
26647,112548,South Africa,Steven Kitshoff,2021-09-25,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
26602,201012,Australia,Tom Wright,2021-10-02,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
26656,130452,New Zealand,Damian McKenzie,2021-10-02,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
26656,112548,South Africa,Steven Kitshoff,2021-10-02,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
26656,132606,South Africa,Vincent Koch,2021-10-02,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
26656,151464,South Africa,Herschel Jantjies,2021-10-02,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
